account_id,customer_id,account_type,balance,currency,branch_code,status,opened_date,created_at,updated_at
20001,1583,Savings,84300.43,INR,BR003,ACTIVE,2022-05-28,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20002,2731,Savings,92847.80,INR,BR004,ACTIVE,2020-06-30,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20003,3548,Savings,19209.66,INR,BR004,ACTIVE,2022-04-09,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20004,1982,Current,428800.23,INR,BR004,ACTIVE,2024-06-20,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20005,2975,Savings,264722.64,INR,BR004,ACTIVE,2023-02-06,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20006,1550,Savings,164551.85,INR,BR002,ACTIVE,2024-08-03,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20007,3165,Savings,145498.92,INR,BR002,ACTIVE,2024-11-14,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20008,4822,Savings,272803.45,INR,BR001,ACTIVE,2023-03-31,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20009,2388,Savings,164015.73,INR,BR004,ACTIVE,2024-03-23,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20010,2938,Savings,431995.27,INR,BR003,ACTIVE,2022-08-19,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20011,1204,Savings,131711.04,INR,BR001,ACTIVE,2020-12-13,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20012,1351,Savings,441268.59,INR,BR001,ACTIVE,2021-08-15,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20013,1319,Savings,332382.13,INR,BR002,ACTIVE,2022-05-23,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20014,4431,Savings,478357.98,INR,BR001,ACTIVE,2022-05-25,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20015,4589,Savings,8538.51,INR,BR003,ACTIVE,2024-09-16,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20016,3988,Savings,30488.69,INR,BR004,ACTIVE,2023-02-11,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20017,3537,Savings,250946.40,INR,BR001,ACTIVE,2020-12-13,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20018,2693,Current,456277.04,INR,BR003,ACTIVE,2022-12-26,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20019,1107,Savings,365666.68,INR,BR002,ACTIVE,2020-02-14,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20020,4812,Savings,311445.83,INR,BR002,ACTIVE,2022-10-14,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20021,3702,Savings,16769.48,INR,BR004,ACTIVE,2021-07-24,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20022,4898,Savings,199829.98,INR,BR001,ACTIVE,2024-07-29,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20023,3220,Savings,192087.53,INR,BR003,ACTIVE,2024-04-30,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20024,4730,Savings,271500.76,INR,BR002,ACTIVE,2024-03-03,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20025,3567,Savings,129656.06,INR,BR003,ACTIVE,2020-10-22,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20026,2879,Current,134310.70,INR,BR002,ACTIVE,2022-05-09,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20027,4937,Current,310809.54,INR,BR002,ACTIVE,2020-07-24,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20028,1958,Savings,472339.20,INR,BR004,ACTIVE,2021-01-20,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20029,3861,Savings,330429.37,INR,BR003,ACTIVE,2021-02-11,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20030,3576,Savings,334396.93,INR,BR003,ACTIVE,2022-07-04,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20031,3368,Savings,493121.19,INR,BR003,ACTIVE,2025-01-07,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20032,2061,Savings,114858.80,INR,BR002,ACTIVE,2022-01-20,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20033,3547,Savings,29454.32,INR,BR004,ACTIVE,2024-06-20,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20034,4737,Savings,373011.46,INR,BR003,ACTIVE,2021-07-19,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20035,3313,Current,219954.93,INR,BR001,ACTIVE,2022-12-06,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20036,4767,Savings,214982.85,INR,BR003,ACTIVE,2022-08-17,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20037,2692,Savings,113426.38,INR,BR002,ACTIVE,2020-01-21,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20038,2673,Savings,253924.66,INR,BR004,ACTIVE,2024-10-02,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20039,3956,Savings,221644.00,INR,BR003,ACTIVE,2024-04-04,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20040,1402,Savings,173379.55,INR,BR003,ACTIVE,2020-01-09,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20041,4035,Savings,221929.83,INR,BR003,ACTIVE,2024-08-28,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20042,1602,Savings,192533.55,INR,BR001,ACTIVE,2023-04-01,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20043,4000,Savings,470008.28,INR,BR002,ACTIVE,2022-06-17,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20044,1218,Savings,490145.58,INR,BR001,ACTIVE,2021-09-17,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20045,3378,Savings,420110.57,INR,BR001,ACTIVE,2023-05-02,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20046,1186,Savings,495216.63,INR,BR002,ACTIVE,2021-12-08,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20047,4453,Savings,133594.00,INR,BR002,ACTIVE,2020-05-01,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20048,3257,Savings,421619.63,INR,BR003,ACTIVE,2023-09-29,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20049,4635,Savings,203907.88,INR,BR002,ACTIVE,2022-09-08,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20050,1288,Savings,373322.06,INR,BR003,ACTIVE,2021-06-20,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20051,1088,Savings,150680.47,INR,BR001,ACTIVE,2021-07-27,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20052,4051,Savings,406166.09,INR,BR003,ACTIVE,2022-06-21,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20053,3184,Savings,42648.75,INR,BR002,ACTIVE,2022-03-08,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
20054,3206,Current,136008.30,INR,BR003,ACTIVE,2022-12-29,2026-05-16 10:42:26.8595142,2026-05-16 10:42:26.8595142
